S_No,State_UT,NSDP_2011_12,NSDP_2012_13,NSDP_2013_14,NSDP_2014_15,NSDP_2015_16,NSDP_2016_17,NSDP_2017_18,NSDP_2018_19,NSDP_2019_20,NSDP_Growth_2012_13,NSDP_Growth_2013-14,NSDP_Growth_2014_15,NSDP_Growth_2015_16,NSDP_Growth_2016_17,NSDP_Growth_2017_18,NSDP_Growth_2018_19,NSDP_Growth_2019_20
1,Andhra Pradesh,339996,341335,360239,397064,446997,477566,526626,550817,588343,0.39,5.54,10.22,12.58,6.84,10.27,4.59,6.81
2,Arunachal Pradesh,10229,10399,11225,13082,12889,13366,13944,14523,15875,1.65,7.95,16.54,-1.47,3.7,4.32,4.16,9.31
3,Assam,129354,132518,138725,146425,167629,179632,195262,207193,216602,2.45,4.68,5.55,14.48,7.16,8.7,6.11,4.54
4,Bihar,228497,236933,246915,255739,269200,293418,312366,340512,377276,3.69,4.21,3.57,5.26,9,6.46,9.01,10.8
5,Chhattisgarh,142273,148760,163494,165354,168879,187541,194073,209211,220624,4.56,9.9,1.14,2.13,11.05,3.48,7.8,5.46
6,Goa,38009,32453,27971,36042,41929,46371,47077,51878,56810,-14.62,-13.81,28.85,16.34,10.59,1.52,10.2,9.51
7,Gujarat,532809,596659,641489,705629,774775,843930,946511,1036859,1118967,11.98,7.51,10,9.8,8.93,12.16,9.55,7.92
8,Haryana,271152,289756,314931,333359,372700,412055,439523,465331,504035,6.86,8.69,5.85,11.8,10.56,6.67,5.87,8.32
9,Himachal Pradesh,60536,64519,69398,74553,80563,88112,93525,99491,104157,6.58,7.56,7.43,8.06,9.37,6.14,6.38,4.69
10,Jammu & Kashmir,67274,67316,70536,67154,80602,82636,87551,95208,0,0.06,4.78,-4.79,20.03,2.52,5.95,8.75,0
11,Jharkhand,137383,149526,150609,170568,158231,176363,191573,204423,218232,8.84,0.72,13.25,-7.23,11.46,8.62,6.71,6.76
12,Karnataka,554952,586552,639940,671283,749952,851394,918796,975111,1023690,5.69,9.1,4.9,11.72,13.53,7.92,6.13,4.98
13,Kerala,328021,348616,364707,382134,411150,443615,473182,504457,521070,6.28,4.62,4.78,7.59,7.9,6.66,6.61,3.29
14,Madhya Pradesh,282371,306853,322598,339247,370716,419465,442002,469289,515923,8.67,5.13,5.16,9.28,13.15,5.37,6.17,9.94
15,Maharashtra,1126595,1189711,1267551,1345341,1452513,1596121,1686980,1789838,1873801,5.6,6.54,6.14,7.97,9.89,5.69,6.1,4.69
16,Manipur,11501,11515,12519,13615,14635,15201,16870,17228,18549,0.12,8.72,8.75,7.49,3.87,10.98,2.12,7.67
17,Meghalaya,18028,18323,18397,17893,18330,19295,19964,21779,23564,1.64,0.4,-2.74,2.44,5.26,3.47,9.09,8.19
18,Mizoram,6404,6836,7831,9960,10948,12029,13779,15372,17797,6.75,14.55,27.18,9.92,9.88,14.55,11.56,15.78
19,Nagaland,10554,11163,11923,12406,12600,13488,14178,15645,16458,5.77,6.81,4.05,1.56,7.05,5.11,10.35,5.2
20,Orissa,204226,216301,233122,235931,253192,293348,316644,327805,344437,5.91,7.78,1.2,7.32,15.86,7.94,3.52,5.07
21,Punjab,239227,251813,267515,278485,294895,315783,334889,353747,368677,5.26,6.24,4.1,5.89,7.08,6.05,5.63,4.22
22,Rajasthan,395331,409802,434292,465408,501922,529650,554429,580594,610292,3.66,5.98,7.16,7.85,5.52,4.68,4.72,5.12
23,Sikkim,9742,9970,10590,11437,12484,13416,15204,15972,17060,2.34,6.21,8,9.16,7.46,13.33,5.05,6.81
24,Tamil Nadu,674478,709343,750416,791915,862437,922084,1000308,1079894,1167776,5.17,5.79,5.53,8.91,6.92,8.48,7.96,8.14
25,Telangana,325139,334205,349593,372897,416892,455731,498145,538250,582108,2.79,4.6,6.67,11.8,9.32,9.31,8.05,8.15
26,Tripura,17419,18857,20623,24407,23745,27204,29505,32830,35980,8.26,9.36,18.35,-2.71,14.56,8.46,11.27,9.6
27,Uttar Pradesh,645132,673552,707469,729686,792049,888453,923806,979159,1015735,4.41,5.04,3.14,8.55,12.17,3.98,5.99,3.74
28,Uttarakhand,101960,109529,117778,125702,136144,150303,162291,171364,178259,7.42,7.53,6.73,8.31,10.4,7.98,5.59,4.02
29,West Bengal,473205,492901,503952,515702,546988,584911,623787,662432,713376,4.16,2.24,2.33,6.07,6.93,6.65,6.2,7.69
30,Andaman & Nicobar Islands,3404,3558,3811,4151,4483,5091,5750,6140,0,4.52,7.13,8.92,8,13.55,12.95,6.79,0
31,Chandigarh,16930,18305,19813,20353,22058,23842,25855,27565,0,8.12,8.24,2.72,8.38,8.09,8.44,6.61,0
32,Delhi,314650,334193,356528,387639,431730,461592,487631,512957,550303,6.21,6.68,8.73,11.37,6.92,5.64,5.19,7.28