Country Name,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cyprus,Czech Republic,Germany,Dominica,Denmark,Dominican Republic,Algeria,Ecuador,"Egypt, Arab Rep.",Spain,Estonia,Ethiopia,Fragile and conflict affected situations,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Monaco,Moldova,Madagascar,Maldives,Mexico,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Puerto Rico,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Serbia,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Chad,Togo,Thailand,Tajikistan,Timor-Leste,Tonga,Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,Vietnam,Vanuatu,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
2002,330,2444,2573,42607,4733,59187,6854,1761,12288,45807,42859,1965,232,40386,985,514,552,4569,21982,32237,3307,3125,3993,99529,1607,8955,15214,36841,1292,5342,438,40370,67860,9815,2061,1275,1183,276,2686,4914,1292,2304,6375,7865,28142,15672,38367,5403,56191,4212,3770,3827,2023,29700,11535,205,1722,41968,3472,38942,9879,37285,1851,986,641,800,533,9998,24966,6320,3765,35497,23252,1626,636,11805,1119,11483,2259,632,869,47592,5078,3880,38330,26582,37056,4747,3097,42191,5607,810,676,475,1703,14618,17178,35634,7151,730,5641,618,8448,7484,7408,586,569,1840,846,8015,97288,8127,24076,2135,140444,1662,428,5673,8961,3370,622,18201,418,5064,1693,335,1403,5860,361,7112,44634,4118,449,1599,1304,46960,83674,463,,31060,18768,829,5435,3359,1710,10020,1571,8836,25833,21809,3406,1605,62632,5627,7206,406,834,16696,1065,1118,33566,1256,330,2698,4010,5991,11161,19734,46319,3245,9384,519,554,3731,488,667,3699,10916,3105,8062,3315,562,592,2132,7971,45087,1034,5125,847,2482,3151,2331,1190,6161,991,1331
2003,343,2434,2725,44329,4878,60351,7380,2018,12869,46596,43053,2149,223,40635,989,538,568,4843,22059,31273,3437,3369,4251,102253,1620,8944,15494,37212,1367,5493,406,41532,67385,10110,2254,1232,1204,283,2631,5031,1289,2363,6546,8249,28531,16238,38077,5725,56257,4096,3990,3865,2049,30038,12486,195,1636,42707,3504,38986,9859,38332,2069,1012,637,828,524,10924,26349,6893,3739,36048,24011,1657,646,12467,1137,11986,2336,649,922,48237,5454,2523,38929,26360,36943,4891,3156,42744,6108,811,716,507,1707,13864,17627,41331,7158,763,5550,424,9396,7748,7426,603,582,1933,890,8934,97678,8898,26219,2235,140486,1777,456,6272,8967,3437,658,18818,471,5169,1793,348,1459,6162,373,7374,45554,4229,442,1673,1318,46812,83941,474,,31839,17875,856,5558,3464,1760,9609,1573,9151,25831,21525,3490,1784,61063,5801,7767,409,880,18035,1116,1164,35610,1304,345,2725,4195,6293,11783,20306,47213,3358,8932,573,577,3970,532,635,3763,12431,3227,8405,3161,583,611,2354,8041,45981,1066,5507,897,2523,3273,2468,1200,6266,1033,1102
2004,333,2609,2887,46010,5218,60328,7962,2243,13436,47927,43957,2328,226,41904,1002,546,588,5194,22145,30979,3645,3780,4341,103945,1658,9346,15658,36761,1424,5542,422,42757,68782,10727,2467,1221,1252,292,2642,5225,1283,2566,6731,8515,29567,17015,38533,5876,57609,4143,4107,4113,2094,30446,13411,215,1818,44283,3681,39795,9679,39019,2203,1043,639,859,526,14438,27614,6826,3795,37007,25897,1718,662,12981,1105,12592,2420,671,979,50546,5624,3791,41692,26982,37227,4928,3337,43672,6648,830,757,550,1648,14240,18470,44759,7507,799,5686,427,9661,8245,7796,627,597,2021,910,9629,99778,9760,32428,2315,142465,1913,466,6467,9191,3591,648,18719,531,5388,1962,364,1485,6389,383,7721,46853,4677,428,1782,1370,47575,86759,490,3963,32632,17666,900,5866,3603,1839,10046,1582,9613,28085,21858,3569,2120,65885,6442,8360,433,931,18901,1127,1202,38620,1355,352,2736,4585,6749,12408,21177,49067,3468,8710,737,557,4190,576,622,3649,13351,3402,9102,3073,610,632,2659,8449,47288,1132,5727,955,2557,3404,2531,1212,6472,1078,1035
2005,357,2897,3063,46881,5394,56093,8578,2572,14108,48814,44638,2948,221,42642,989,576,618,5608,22066,31442,3963,4164,4312,105003,1700,9535,16217,36329,1504,5687,418,44471,70471,11225,2732,1216,1243,301,2759,5404,1288,2705,6893,8762,30558,18113,38837,5897,58793,4473,4289,4258,2149,31029,14768,234,1910,45358,3690,40153,9675,39984,2429,1077,645,813,536,16123,27699,7709,3719,37814,27689,1779,682,13523,1127,13153,2524,698,1040,52276,5736,3868,43635,27548,37348,4944,3493,44394,7228,855,748,613,1696,15449,19225,47987,7732,843,5678,438,10643,8131,8027,661,621,2130,946,10544,101381,10924,34225,2363,143694,2062,474,5472,9271,3755,668,19229,598,5605,2079,377,1567,6464,385,7974,48115,4720,442,1848,1409,48438,88433,500,3984,33338,17632,937,6173,3796,1894,10489,1646,9954,27567,21988,3587,2300,61649,6785,8929,465,985,19382,1178,1237,40499,1396,354,2797,4853,6971,13228,21943,50268,3661,9450,834,517,4338,603,625,3627,14110,3491,9790,2919,637,651,2759,9079,48500,1196,5863,1018,2626,3523,2682,1243,6730,1126,971
2006,365,3116,3264,47845,5611,53335,9175,2934,15662,49443,45952,3921,226,43443,999,594,650,6035,21796,31633,4177,4609,4403,110191,1751,9806,17102,37400,1589,6039,429,45858,72824,11809,3063,1208,1251,307,2882,5693,1291,2883,7290,9296,31469,19286,40364,6160,60893,4819,4298,4372,2255,31761,16299,252,2003,47004,3730,40850,9143,40798,2673,1117,639,784,535,16591,29176,7382,3908,38721,29446,1852,704,14195,1128,13704,2628,728,1107,53466,5955,4180,44860,28571,37902,5061,3633,44995,7917,886,763,669,1659,15774,20131,49345,8046,901,5692,458,11165,8532,8346,694,643,2276,990,11508,104943,12346,37922,2513,150491,2167,485,6734,9547,3942,676,19640,671,6078,2228,402,1802,6747,393,8255,49069,4969,451,1910,1447,50034,89828,511,4235,33871,18079,970,6585,4048,1959,10576,1696,10571,27293,22305,3703,2219,65820,7373,9693,496,1044,19368,1261,1235,42786,1430,357,2905,5121,7290,14351,23130,52317,3860,10126,810,517,4526,633,587,3593,15899,3640,10340,2946,660,699,2984,9441,49406,1270,6315,1079,2781,3569,2780,1247,7018,1183,932
2007,406,3424,3485,47595,5726,47284,9902,3365,16852,51024,47510,4864,226,44710,1029,600,687,6478,21838,31486,4425,5028,4311,113236,1799,10294,17402,36988,1859,6401,440,48534,75144,12256,3480,1203,1277,315,2600,6002,1270,3279,7779,9540,32377,20242,41622,6545,61175,5109,4376,4394,2373,32302,17614,273,2087,49285,3661,41583,9414,41466,3025,1135,667,784,540,18261,30055,7815,4189,39514,31082,1923,728,14918,1172,13759,2758,760,1174,54708,6370,4167,47835,29689,38272,5108,3765,45687,8524,921,820,726,1654,15724,21191,49578,8401,953,6212,482,11699,8559,8702,734,673,2413,1039,12938,111968,13696,42480,2571,170535,2237,498,7088,9622,4193,677,20506,747,6482,2424,422,1717,7101,419,8605,49738,5144,448,1983,1500,51809,91566,522,3262,34587,18341,994,7242,4357,2051,11004,1785,11324,27135,22820,3848,2245,65184,8024,10535,521,1103,19188,1368,1262,44742,1460,376,2946,5473,7574,15901,24607,53716,4005,11125,809,497,4745,669,635,3572,16580,3845,10733,3102,685,734,3230,10039,49856,1371,6531,1145,2857,3771,2959,1252,7299,1248,890
2008,412,3668,3776,44318,5914,42457,10201,3628,16579,51841,48053,5267,229,44557,1049,616,720,6920,21563,30191,4677,5560,4348,110468,1878,10711,17446,35844,1929,6658,441,48495,75794,12554,3797,1206,1286,324,2671,6127,1290,3455,8034,9599,32726,20614,42101,7008,60505,5207,4408,4596,2498,32073,16762,295,2154,49441,3659,41456,8827,41025,3108,1208,679,809,543,20533,29875,7869,4260,39367,31554,1961,750,15202,1182,13929,2885,790,1193,51202,6316,4434,47889,30040,37654,5042,3851,45166,8698,898,880,764,1583,16545,21665,47900,8637,1010,6779,496,11845,8858,8939,768,696,2538,1109,13414,108577,13380,43007,2691,169964,2416,517,7573,9588,4418,686,21153,819,6938,2601,440,1662,7456,438,8850,49250,5185,465,2061,1531,52728,90862,548,3967,33941,19168,988,7815,4716,2105,10620,1737,11798,26791,22859,4037,2346,65047,8918,11088,564,1122,19833,1436,1279,43216,1510,387,3009,5807,7797,16773,25430,53059,4010,10645,806,503,4802,707,694,3713,17065,3966,10692,3319,704,774,3322,10732,49319,1471,6642,1198,2970,3783,3121,1262,7432,1309,726
2009,488,3565,3928,41669,5797,36024,9502,3137,14369,51767,46123,5643,230,43307,1044,616,748,6730,20796,28440,4558,5584,4249,103675,1909,10595,16492,34801,2039,6029,472,46541,73189,12227,4133,1217,1279,322,2885,6128,1299,3370,7855,9194,31217,19542,39805,6923,57229,5191,4402,4548,2567,30594,14371,312,2164,45232,3573,40059,8554,38986,3021,1235,656,837,547,19868,28515,7326,4409,37789,30711,1873,763,14103,1237,13016,2979,809,1268,48111,6310,4491,44492,29601,35503,4799,3847,42725,8574,902,895,753,1561,15738,21724,41907,8374,1068,7398,502,11607,8497,8671,786,712,2610,1131,11551,101940,11663,42651,2771,149243,2274,482,6828,8948,4399,696,20756,899,6522,2528,455,1616,7683,461,8559,47550,5106,456,2169,1460,50534,88174,568,4307,33555,19454,993,7772,4730,2101,10147,1811,12124,26411,22125,3973,2481,63219,8497,10220,583,1184,18883,1443,1271,41983,1513,390,2934,5671,7940,15837,23299,50326,4044,10486,813,517,4745,719,750,3503,16235,4043,10047,3139,720,800,2844,11156,47649,1562,6509,1251,2995,3576,3207,1274,7217,1390,803
2010,543,3588,4094,40853,5927,33893,10386,3218,13049,52022,46858,5843,234,44142,1037,648,781,6812,20722,28443,4636,6029,4271,101875,1955,11286,16056,35270,2258,6435,488,47448,74606,12808,4550,1213,1287,334,3077,6337,1316,3378,8142,9253,31024,19960,41532,6967,58041,5555,4479,4634,2646,30503,14791,342,2208,46460,3653,40638,8849,39436,3233,1299,672,861,558,17289,26918,7258,4581,38654,32550,1904,785,13949,1172,13192,3122,840,1358,48715,6600,4655,43025,30694,36001,4704,3737,44508,9070,952,880,786,1517,15510,23087,38577,8778,1141,7762,513,12065,8540,9076,815,738,2800,1137,11991,104965,11384,52253,2840,150725,2438,472,7077,9271,4543,710,21799,979,6688,2643,472,1611,8000,479,9041,48377,5318,477,2280,1504,50950,87694,592,4754,33700,18713,987,8082,5082,2217,10356,1949,12613,26436,22499,4356,2557,67403,8214,10675,610,1257,19263,1401,1280,47237,1604,402,2983,5735,8256,16751,23510,52869,4169,10805,893,534,5076,750,806,3528,16683,4142,10742,3022,743,819,2965,11992,48468,1634,6293,1318,2967,3566,3287,1335,7329,1489,948
2011,529,3580,4210,41192,6009,34635,10883,3371,12618,52568,48065,5676,236,44310,1038,670,822,7018,20517,28249,4737,6365,4250,98913,2024,11628,15900,36122,2411,6728,505,48464,75030,13456,4961,1133,1303,345,3058,6712,1338,3469,8390,9292,30364,20269,43970,6948,58576,5661,4523,4922,2636,30147,15940,369,2165,47423,3736,41329,9137,39731,3501,1446,695,767,588,17610,24496,7275,4802,39196,33888,1939,799,13970,1226,13485,3271,856,1410,48670,6695,4847,43701,31573,36193,4759,3638,44539,9603,983,921,828,1514,15656,23755,39940,9060,1213,7454,538,4539,8934,9368,827,735,3015,1193,13005,105265,12343,62122,2949,159431,2581,466,7385,9478,4645,711,21808,1026,6897,3044,493,1629,8313,488,9372,48836,5491,470,2338,1577,51500,87413,612,5202,34233,17971,993,8842,5360,2264,11179,1928,13206,26647,22150,4479,2733,69679,8412,11125,642,1304,20554,1592,1263,49194,1677,418,3084,5899,8640,17206,23663,54148,4234,11967,864,553,5094,787,838,3784,16534,4022,11764,3218,777,868,3138,12575,48866,1715,6263,1386,2923,3685,3401,1133,7455,1526,1066
2012,576,3748,4277,39770,6266,35417,10650,3604,12877,53682,48172,5725,239,44361,1058,692,866,7084,20925,28800,4771,6479,4253,93327,2094,11746,15788,35967,2505,6945,529,48786,74984,14036,5325,1224,1326,358,3276,6912,1348,3462,8690,9347,28874,20082,44071,6870,58488,5745,4587,5122,2636,29236,16497,390,2281,46539,3781,41258,9259,40040,3751,1544,720,783,563,18254,22831,7147,5033,39474,34086,1982,822,13677,1214,13368,3421,878,1469,48573,6122,5320,44032,31695,35019,4703,3529,45277,9923,1001,905,874,1561,15173,24198,40287,9201,1291,7179,565,10067,8860,9524,848,736,3286,1267,13687,102405,13028,66271,2995,159100,2566,467,7252,9691,4620,685,22503,1092,6703,3353,515,1653,8580,483,9743,49530,5669,499,2372,1658,50781,88605,643,5669,34808,18213,1006,9541,5643,2380,11434,1976,13381,26980,21337,4395,2829,67651,8622,11554,681,1358,21007,1745,1292,50144,1664,470,3157,5887,8773,17502,22990,53433,4432,12000,909,574,5438,827,873,3846,16637,4142,12128,3064,788,873,3154,12981,49603,1814,6342,1443,2893,3504,3465,1129,7500,1591,1223
2013,588,3797,4327,39144,6331,36979,10785,3705,12645,54130,47901,5982,243,44355,1103,711,907,7147,21805,27755,4969,6543,4212,92775,2201,11993,15533,34730,2526,7646,335,49398,75500,14461,5711,1300,1360,375,3173,7201,1375,3445,8786,9355,27044,20066,44143,6796,58788,5955,4622,5296,2633,28911,16779,419,2313,45907,3958,41283,9418,40623,3899,1619,731,782,566,16764,22251,7266,5190,39823,35003,2001,844,13654,1234,13654,3563,911,1545,48971,6035,5506,45421,32399,33979,4699,3439,46249,10368,1032,984,923,1604,15847,24850,38699,9352,1374,6979,597,8650,8537,9684,876,758,3371,1311,14318,103722,13472,71992,3087,172290,2799,465,7436,9694,4751,680,23404,1174,6935,3670,535,1671,8849,494,10062,50102,5883,506,2464,1716,50565,88445,671,7033,35450,17787,1028,10027,5919,2498,11068,2010,13540,27207,21257,4699,2891,67116,8980,11731,696,1422,20929,1779,1291,51725,1706,555,3213,6087,8930,17600,22722,53611,4571,12489,929,593,5559,868,876,3894,16896,4220,12936,3169,817,875,3160,13541,50171,1922,6448,1506,2868,3460,3563,1151,7564,1620,1226
2014,584,3843,4413,40915,6353,38495,10399,3819,12976,54679,47843,6073,245,44856,1140,720,951,7323,22395,27785,5114,6650,4271,89154,2286,11951,15485,33417,2640,7864,334,50307,76411,14561,6104,1379,1402,397,3281,7449,1371,3423,8994,9335,26834,20499,44931,7091,59438,6302,4701,5412,2649,29399,17326,449,2287,45551,4175,41481,9477,41377,4069,1628,741,748,556,16146,22566,7748,5249,40403,35718,2026,866,13663,1258,14270,3693,941,1640,52775,6233,5342,45854,32978,33667,4705,3396,46484,10646,1060,1004,973,1571,16695,25486,37159,9343,1456,6754,586,6531,8649,9680,904,777,3506,1339,14952,105659,13746,69581,3125,182611,2940,468,7625,9843,4920,708,24692,1257,7051,3880,559,1692,9164,508,10524,50997,6113,519,2550,1775,51101,89175,711,8126,36185,16870,1054,10358,5996,2613,11751,2237,14008,27326,21541,4861,2820,67171,9339,11609,720,1502,21087,1783,1339,53068,1678,568,3253,6018,8856,18047,23328,54493,4578,12850,961,612,5589,904,898,4002,16636,4302,13346,3178,846,890,3124,13935,51066,2025,6512,1579,2853,3435,3617,1119,7583,1644,1233
2015,574,3748,4524,42141,6424,40248,10568,3924,13328,55080,47789,6064,228,45507,1129,727,1002,7664,22353,27583,5353,6385,4301,89709,2361,11431,15836,32873,2781,7614,347,50262,76553,14722,6500,1464,1442,411,3097,7580,1354,3415,9219,9363,27898,21561,45208,6891,60402,6662,4776,5331,2705,30550,17634,483,2277,45648,4352,41794,9521,42017,4186,1626,750,755,575,14094,22615,8194,5257,41112,36261,2067,882,14111,1261,14850,3824,958,1752,65433,6070,5296,47534,33071,33961,4722,3350,47103,10617,1093,1021,1025,1711,16726,26064,35969,9241,1539,6488,571,5900,8492,9591,915,773,3647,1364,15399,107638,14414,53479,3222,189548,2954,470,7502,10042,5105,730,26427,1335,7286,3895,580,1733,9477,508,10912,51984,6275,521,2550,1836,51872,90029,732,8007,36792,16658,1081,10766,6114,2735,12609,2337,14611,27519,22018,4944,2859,67443,9660,11355,765,1594,21399,1826,1385,54010,1656,441,3315,6157,8465,18898,23826,56340,4641,13188,957,631,5741,936,908,4059,16840,4308,13924,3429,872,904,2829,13939,52168,2139,6581,1667,2782,3558,3817,785,7557,1641,1234
2016,571,3530,4682,44108,6518,41045,10239,3917,13918,55729,48216,5813,220,45851,1135,748,1062,8013,22273,27706,5592,6216,4217,90062,2426,10966,16202,31685,2971,7797,360,50194,77026,14777,6908,1530,1469,407,2712,7633,1367,3532,9510,9178,29644,22065,45845,7055,61878,7026,4829,5176,2763,31449,18190,514,2290,46796,4440,42140,9429,42500,4305,1645,810,747,596,12358,22666,8449,5430,41593,36818,2111,895,14707,1265,15213,3968,984,1876,67078,6791,5929,49985,33721,34459,4762,3315,47403,10583,1130,1044,1080,1773,17058,26726,35887,9100,1622,6412,548,5670,8787,9459,929,782,3769,1422,15989,110162,14892,52163,3213,194368,3120,476,7631,10183,5247,750,26834,1402,7500,3866,585,1705,9834,506,11244,52404,6143,530,2443,1895,52727,90196,730,7928,37353,16679,1118,11107,6262,2887,12556,2416,15076,27702,22534,5090,3043,67188,10173,11356,789,1697,21270,1866,1432,55043,1707,458,3383,6396,7913,19276,24569,56789,4650,13606,869,649,5916,976,920,4310,15697,4311,14153,3494,904,913,2904,14124,52644,2230,6687,1753,2804,3825,3996,694,7477,1653,1224
2017,571,3410,4864,44431,6446,41460,10419,4199,14221,56058,49031,5765,214,46409,1167,772,1127,8354,22167,28283,5829,6375,4212,94310,2491,11022,16254,31753,3072,7859,371,51170,77684,14741,7347,1601,1482,409,2521,7621,1387,3620,9776,9168,30650,23144,46862,6561,63216,7273,4792,5206,2819,32309,19168,548,2280,48213,4650,43015,9212,43011,4513,1739,869,760,615,11225,23053,8776,5605,42399,37929,2176,912,15397,1277,15912,4121,1014,1987,71756,6949,5636,51046,34243,35086,4786,3306,48511,10868,1156,1072,1136,1763,16589,27493,33359,9183,1707,6371,548,7086,9046,9536,949,791,3860,1392,16908,109453,15513,56423,3305,186185,3322,481,7837,10278,5301,766,28202,1483,7852,3997,590,1716,10199,513,11737,53319,6013,535,2400,1958,53942,91549,779,7573,37725,16067,1155,11530,6314,3043,12258,2452,15803,27561,23381,5272,3025,64473,10982,11551,799,1791,20694,1900,1495,57379,1752,467,3441,6565,7973,19832,25730,57467,4699,14029,818,661,6135,1025,866,4416,15262,4343,14975,3590,937,913,2989,14437,53552,2290,6731,1853,2854,3848,4134,643,7476,1661,1263
2018,565,3234,5075,45134,6456,41327,10050,4407,15135,56832,50052,5801,211,47036,1211,800,1203,8675,21478,28845,6097,6586,4217,93832,2560,11080,16137,31437,3129,8033,379,51476,79235,15112,7807,1668,1502,419,2304,7694,1403,3740,9937,9263,31507,23801,47314,6697,64272,7698,4754,5181,2909,32949,19933,571,2280,48880,4795,43720,9051,43324,4734,1808,897,791,623,10135,23547,9092,5825,43134,38699,2219,923,15971,1282,16793,4285,1044,2086,76663,6440,5475,51593,34750,35485,4855,3310,48766,11166,1201,1091,1203,1778,16944,28158,33112,9238,1786,6214,541,8039,9237,9598,969,799,3946,1375,17742,110702,16263,58642,3361,196061,3527,490,8157,10386,5452,779,28644,1573,8253,4211,593,1704,10577,515,12131,54497,5942,552,2383,1857,54894,92120,818,8143,38522,15797,1198,11755,6454,3191,12685,2398,16649,27362,24085,5380,2986,63933,11541,11844,845,1878,20820,1812,1547,59073,1774,473,3507,6898,8100,20551,26760,57911,4762,14417,812,677,6370,1073,840,4378,15161,4408,15190,3636,959,934,3106,14617,54833,2374,6853,1964,2865,3754,4277,633,7434,1678,1306
2019,573,3111,5211,45887,6429,41420,9742,4732,15704,57187,50553,5880,208,47618,1260,822,1288,9059,20913,28909,6304,6679,4150,94267,2580,11122,16100,32327,3262,8093,384,51589,79407,15091,8242,1727,1518,424,2166,7838,1399,3908,10047,9298,32093,24266,47447,6917,65820,8002,4700,5097,3010,33393,20856,603,2279,49397,4739,44317,9178,43712,4978,1884,921,815,636,9238,24024,9220,6107,43652,37928,2241,935,16510,1245,17572,4451,1072,2152,79703,5923,5589,51332,35279,35680,4867,3326,49188,11518,1237,1116,1269,1790,17295,28675,32702,9228,1841,5792,516,8122,9351,9590,989,810,4012,1353,18610,111062,16722,55111,3396,,3720,500,8477,10268,5625,792,28976,1608,8590,4353,589,1756,10893,524,12487,55331,5766,563,2374,1763,55489,92556,859,8223,38993,15082,1185,11910,6487,3338,12078,2490,17407,27684,24659,5310,2939,63282,12092,12012,901,1933,20542,1724,1584,58830,1749,488,3572,7230,8047,20999,27427,58013,4818,15049,814,696,6502,1121,978,4355,15105,4405,15125,3943,985,963,3225,14597,55753,2459,6863,2082,2887,3869,4462,631,7346,1654,1183